director_id,director,year,category
19696,GUILLERMO DEL TORO,2007,Oscar
19795,TOBI BAUMANN,2004,Euregio Film Award
19797,GREG HARRISON,2001,Independent Spirit Award
19799,THOMAS WENDRICH,2005,Professional Jury Golden Sparrow
19805,MICHAEL MOORE,2008,Oscar
19879,JONATHAN CAOUETTE,2004,BSFC Award
19897,HELENA BULAJA,2007,Film Award
19898,ANDY TENNANT,2016,Emmy
19901,TODD FIELD,2007,Oscar
19954,SUNG HYUNG CHO,2007,Best Documentary
19958,PHIL MORRISON,2006,CFCA Award
19963,PO-CHIH LEONG,2016,Best Director
19970,LODGE KERRIGAN,2010,Un Certain Regard Award
19991,GEOFFREY WRIGHT,1992,AFI Award
19994,NICK GOMEZ,2001,ALMA Award
20002,E. ELIAS MERHIGE,2000,Prix Tournage
20010,ROMUALD KARMAKAR,2002,Adolf Grimme Award
20028,MIKE HODGES,2013,Golden Unicorn for Career Achievement
20037,NING HAO,2012,Best Director
20057,NEIL BURGER,2003,Prix Tournage
20063,DONALD PETRIE,1987,Primetime Emmy
20066,MICHAEL PRESSMAN,1995,Primetime Emmy
20072,STEVE BARRON,1998,Primetime Emmy
20088,STUART GILLARD,1976,Primetime Emmy
20095,KEVIN MACDONALD,2011,Best Feature
20096,MARCUS NISPEL,2004,International Fantasy Film Award
20099,LARS KRAUME,2012,Adolf Grimme Award
20116,LAURENT CANTET,2014,Black Pearl Award
20173,MIKE JUDGE,2017,Primetime Emmy
20199,SVEN TADDICKEN,2000,Special Mention
20236,OL PARKER,2013,Alexander Korda Award for Best British Film
20243,MIKE MILLS,2017,Oscar
20267,TERRY ZWIGOFF,2002,Oscar
20306,ABDELLATIF KECHICHE,2014,BAFTA Film Award
20391,PETER HEDGES,2003,Oscar
20407,JACQUES AUDIARD,2017,BAFTA Film Award
20502,CÉDRIC KLAPISCH,1996,FIPRESCI Prize
20531,HENDRIK HANDLOEGTEN,2013,Adolf Grimme Award
20542,DUSAN MAKAVEJEV,1971,FIPRESCI Prize - Special Mention
20558,NIKOS NIKOLAIDIS,1991,Grand Prize of European Fantasy Film in Gold
20576,JUAN CARLOS FRESNADILLO,1997,Oscar
20595,BERNHARD WICKI,1988,Adolf Grimme Award in Gold
20620,ROB MARSHALL,2003,Oscar
20652,NANCY MEYERS,1981,Oscar
20663,CHRISTIAN ZÜBERT,2011,Adolf Grimme Award
20676,DAVID KOEPP,2009,Saturn Award
20687,PEYTON REED,2016,Saturn Award
20692,JOHN IRVIN,1980,BAFTA TV Award
20700,AGNIESZKA HOLLAND,1992,Oscar
20747,GREGORY HOBLIT,1995,Primetime Emmy
20766,SHAWN LEVY,2017,Oscar
20779,MICHELLE MACLAREN,2014,Primetime Emmy
20796,DAVID O. RUSSELL,2014,Oscar
20919,MARIA GIESE,2016,EDA Female Focus Award
20920,JOHN HAY,2012,BAFTA Children's Award
20925,DAVID EVANS,2014,Primetime Emmy
20934,TOMY WIGAND,2012,Adolf Grimme Award
20941,RONNY YU,1994,Best Film
20951,AXEL SAND,2000,German Television Award
